flyby_url,flyby_index,flyby_cassini_mission,flyby_date,flyby_altitude,flyby_cube_quantity,flyby_sequence,flyby_revolution
https://vims.univ-nantes.fr/flyby/229TI,229TI,Solstice,2015-12-27,n/a,34,S92,229
https://vims.univ-nantes.fr/flyby/230TI,T115 | 230TI,Solstice,2016-01-16,3817 km,284,S92,230
https://vims.univ-nantes.fr/flyby/231TI,T116 | 231TI,Solstice,2016-02-01,1400 km,509,S92,231
https://vims.univ-nantes.fr/flyby/232TI,T117 | 232TI,Solstice,2016-02-16,1018 km,114,S93,232
https://vims.univ-nantes.fr/flyby/233TI,233TI,Solstice,2016-03-08,425884 km,40,S93,233
https://vims.univ-nantes.fr/flyby/234TI,T118 | 234TI,Solstice,2016-04-04,990 km,386,S93,234
https://vims.univ-nantes.fr/flyby/235TI,T119 | 235TI,Solstice,2016-05-06,971 km,289,S94,235
https://vims.univ-nantes.fr/flyby/236TI,T120 | 236TI,Solstice,2016-06-07,975 km,230,S94,236
https://vims.univ-nantes.fr/flyby/237TI,237TI,Solstice,2016-06-18,n/a,32,S94,237
https://vims.univ-nantes.fr/flyby/238TI,T121 | 238TI,Solstice,2016-07-25,976 km,150,S95,238
https://vims.univ-nantes.fr/flyby/239TI,T122 | 239TI,Solstice,2016-08-10,1599 km,38,S95,239
https://vims.univ-nantes.fr/flyby/240TI,240TI,Solstice,2016-08-19,826334 km,32,S95,240
https://vims.univ-nantes.fr/flyby/241TI,241TI,Solstice,2016-08-30,985764 km,60,S95,241
https://vims.univ-nantes.fr/flyby/242TI,242TI,Solstice,2016-09-10,n/a,10,S96,242
https://vims.univ-nantes.fr/flyby/243TI,T123 | 243TI,Solstice,2016-09-27,1737 km,158,S96,243
https://vims.univ-nantes.fr/flyby/244TI,244TI,Solstice,2016-10-03,876961 km,14,S96,244
https://vims.univ-nantes.fr/flyby/245TI,245TI,Solstice,2016-10-10,n/a,18,S96,245
https://vims.univ-nantes.fr/flyby/246TI,246TI,Solstice,2016-10-27,n/a,6,S96,246
https://vims.univ-nantes.fr/flyby/248TI,T124 | 248TI,Solstice,2016-11-14,1582 km,191,S96,248
https://vims.univ-nantes.fr/flyby/249TI,249TI,Solstice,2016-11-15,n/a,10,S96,249
https://vims.univ-nantes.fr/flyby/250TI,T125 | 250TI,Solstice,2016-11-29,3223 km,242,S97,250
https://vims.univ-nantes.fr/flyby/252TI,252TI,Solstice,2016-12-15,n/a,8,S97,252
https://vims.univ-nantes.fr/flyby/253TI,253TI,Solstice,2016-12-15,343212 km,102,S97,253
https://vims.univ-nantes.fr/flyby/254TI,254TI,Solstice,2016-12-25,n/a,6,S97,254
https://vims.univ-nantes.fr/flyby/255TI,255TI,Solstice,2016-12-31,681772 km,36,S97,255
https://vims.univ-nantes.fr/flyby/256TI,256TI,Solstice,2017-01-11,n/a,12,S97,256
https://vims.univ-nantes.fr/flyby/257TI,257TI,Solstice,2017-01-17,724314 km,11,S97,257
https://vims.univ-nantes.fr/flyby/258TI,258TI,Solstice,2017-01-21,n/a,12,S97,258
https://vims.univ-nantes.fr/flyby/259TI,259TI,Solstice,2017-02-01,221021 km,69,S98,259
https://vims.univ-nantes.fr/flyby/261TI,261TI,Solstice,2017-02-17,186411 km,35,S98,261
https://vims.univ-nantes.fr/flyby/262TI,262TI,Solstice,2017-02-17,n/a,12,S98,262
https://vims.univ-nantes.fr/flyby/263TI,263TI,Solstice,2017-03-03,n/a,4,S98,263
https://vims.univ-nantes.fr/flyby/264TI,264TI,Solstice,2017-03-05,492380 km,58,S98,264
https://vims.univ-nantes.fr/flyby/265TI,265TI,Solstice,2017-03-16,n/a,9,S98,265
https://vims.univ-nantes.fr/flyby/266TI,266TI,Solstice,2017-03-20,874275 km,22,S98,266
https://vims.univ-nantes.fr/flyby/267TI,267TI,Solstice,2017-03-25,n/a,4,S98,267
https://vims.univ-nantes.fr/flyby/268TI,268TI,Solstice,2017-04-06,477728 km,41,S98,268
https://vims.univ-nantes.fr/flyby/269TI,269TI,Solstice,2017-04-11,n/a,6,S99,269
https://vims.univ-nantes.fr/flyby/270TI,T126 | 270TI,Solstice,2017-04-22,979 km,72,S99,270
https://vims.univ-nantes.fr/flyby/271TI,271TI,Solstice,2017-04-24,n/a,10,S99,271
https://vims.univ-nantes.fr/flyby/272TI,272TI,Solstice,2017-05-01,n/a,4,S99,272
https://vims.univ-nantes.fr/flyby/273TI,273TI,Solstice,2017-05-07,487627 km,40,S99,273
https://vims.univ-nantes.fr/flyby/274TI,274TI,Solstice,2017-05-14,n/a,4,S99,274
https://vims.univ-nantes.fr/flyby/275TI,275TI,Solstice,2017-05-24,138386 km,332,S99,275
https://vims.univ-nantes.fr/flyby/276TI,276TI,Solstice,2017-05-29,n/a,3,S99,276
https://vims.univ-nantes.fr/flyby/278TI,278TI,Solstice,2017-06-08,348740 km,69,S99,278
https://vims.univ-nantes.fr/flyby/279TI,279TI,Solstice,2017-06-15,n/a,3,S100,279
https://vims.univ-nantes.fr/flyby/280TI,280TI,Solstice,2017-06-25,337630 km,42,S100,280
